Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,6.520000,6.700000,5.620000,6.020000,5.888020,219322600
2021-09-01,6.040000,6.320000,5.180000,5.360000,5.269011,254960100
2021-10-01,5.410000,6.550000,5.260000,6.010000,5.907978,234009400
2021-11-01,6.020000,7.130000,5.820000,5.950000,5.848995,306940300
2021-12-01,6.080000,6.140000,4.900000,5.810000,5.739787,391092100
2022-01-01,5.740000,6.000000,5.150000,5.400000,5.334742,356711400
2022-02-01,5.450000,5.990000,5.000000,5.010000,4.949455,453893300
2022-03-01,5.050000,5.990000,5.030000,5.880000,5.808941,522769200
2022-04-01,5.840000,6.340000,5.010000,5.080000,5.046134,387433500
2022-05-01,4.980000,5.210000,3.920000,4.500000,4.470000,402863200
2022-06-01,4.520000,4.730000,3.550000,3.580000,3.556133,542519900
2022-07-01,3.550000,3.730000,3.000000,3.370000,3.370000,402465800
